45:04.0,00:00.0,100,2,69,81,75,84976,24066,3249,7033,6561,4689,1835,1980
45:05.0,00:00.0,100,2,53,77,65,117317,22078,2812,3073,2016,5310,1058,740
45:06.0,00:00.0,100,2,60,63,61,40402,28548,6338,5939,9189,14773,8459,8324
45:07.0,00:00.0,100,2,66,60,63,294542,37131,54534,9658,39179,13475,11211,8007
45:08.0,00:00.0,100,2,74,56,65,8639,18795,1930,6039,11603,8201,10199,3107
45:09.0,00:00.0,100,2,70,61,65,5683,22407,8138,4455,11638,6480,8658,4410
45:10.0,00:00.0,100,2,57,67,62,94377,17571,8846,3073,2934,2235,2973,936
45:11.0,00:00.0,100,2,56,60,58,357267,140736,36232,15855,11194,20089,8979,5234
45:13.0,00:00.0,100,2,60,60,60,72635,24004,4066,5594,32814,9611,6130,4154
45:14.0,00:00.0,100,2,67,66,66,42774,33356,32147,32411,6906,18514,5199,7236
45:15.0,00:00.0,100,2,66,83,74,51092,52934,114448,17099,14054,14631,9592,4498
45:16.0,00:00.0,100,2,67,81,74,16979,6935,10666,12412,29561,11544,6734,2806
45:17.0,00:00.0,100,2,63,80,71,6303,41486,1808,4407,10826,6743,11272,1592
45:18.0,00:00.0,100,2,63,75,69,87752,6666,2442,5817,4760,3200,1236,842
45:19.0,00:00.0,100,2,63,63,63,167119,20231,10005,4660,3820,3096,1639,1611
45:20.0,00:00.0,100,2,70,60,65,14850,6736,5773,12018,22556,23074,10929,3250
45:21.0,00:00.0,100,2,80,67,73,81728,51369,11903,10084,19367,26922,5758,3919
45:22.0,00:00.0,100,2,84,61,72,8936,36647,10711,13447,15459,22773,11068,4803
45:23.0,00:00.0,100,2,88,60,74,122106,126683,56496,12226,10800,23359,9534,6445
45:24.0,00:00.0,100,2,80,54,67,59307,67359,14359,10810,21651,37281,8135,10562
45:25.0,00:00.0,100,2,74,70,72,4035,8662,18530,29427,11198,9877,8882,3243
45:26.0,00:00.0,100,2,78,66,72,18435,25991,4684,4163,9244,23701,5289,1507
45:27.0,00:00.0,100,2,77,69,73,65013,51592,19567,38618,13045,11722,4448,1973
45:28.0,00:00.0,100,2,70,83,76,43247,21275,32568,6092,11028,12880,7143,3679
45:29.0,00:00.0,100,2,83,74,78,11177,4441,8691,8894,10545,15974,9033,3351
45:30.0,00:00.0,100,2,69,97,83,9162,3972,21930,17262,6157,5272,4060,6063
45:31.0,00:00.0,100,2,75,87,81,33376,75239,13598,8424,5262,17145,5959,10406
45:32.0,00:00.0,100,2,75,74,74,18886,56620,5501,8497,8749,18208,5232,1809
45:33.0,00:00.0,100,2,69,60,64,12834,40340,3711,4000,13969,18575,8863,6335
45:34.0,00:00.0,100,2,69,44,56,264801,94907,13582,44335,7991,20253,18989,2763
45:35.0,00:00.0,100,2,74,56,65,3893,19561,12021,25211,11651,18794,4521,4909
45:36.0,00:00.0,100,2,74,51,62,208818,135619,11844,3663,8046,38524,7018,6763
45:37.0,00:00.0,100,2,69,61,65,247925,9840,5312,2478,6009,4807,2170,747
45:38.0,00:00.0,100,2,70,66,68,17176,21652,21399,16773,13325,10447,5291,10430
45:39.0,00:00.0,100,2,74,66,70,29222,6658,9324,11553,6582,11434,13881,4632
45:40.0,00:00.0,100,2,78,83,80,13550,11741,15551,12628,17242,18103,4890,9463
45:41.0,00:00.0,100,2,74,81,77,101008,12612,3168,3030,2744,2882,1501,1004
45:42.0,00:00.0,100,2,75,70,72,10161,42055,12499,4951,15790,12319,5189,9351
45:43.0,00:00.0,100,2,64,66,65,40948,70562,27558,17197,9783,15249,17031,10413
45:44.0,00:00.0,100,2,57,64,60,58105,60229,23058,21083,15917,20215,8134,2579
45:45.0,00:00.0,100,2,66,75,70,5188,7998,22504,30188,9360,26030,11304,6145
45:46.0,00:00.0,100,2,66,78,72,33724,72658,11687,18826,7229,16419,6996,5430
45:47.0,00:00.0,100,2,67,84,75,29828,32987,28049,34047,9240,15761,14350,3108
45:48.0,00:00.0,100,2,78,87,82,26325,12154,15630,7080,2444,24851,6808,5216
45:49.0,00:00.0,100,2,84,69,76,12621,15478,8927,663,23604,24145,3541,9172
45:50.0,00:00.0,100,2,78,54,66,775049,1345862,25985,63432,64890,117383,38210,38019
45:51.0,00:00.0,100,2,67,43,55,57709,47851,14081,3274,6222,4012,2089,2480
45:52.0,00:00.0,100,2,57,37,47,639787,24957,2819,6434,5128,8158,5356,1270
45:53.0,00:00.0,100,2,43,48,45,284037,68203,29999,34972,20740,20024,6930,1476
45:54.0,00:00.0,100,2,50,60,55,413847,44866,7037,15698,31618,13990,9048,2589
45:55.0,00:00.0,100,2,66,67,66,48349,13269,13528,29424,21613,25993,8350,7559
45:56.0,00:00.0,100,2,67,69,68,717851,38134,13222,13604,24911,15419,19869,5048
45:57.0,00:00.0,100,2,70,69,69,647245,34174,10437,33770,14780,17368,4352,2182
45:58.0,00:00.0,100,2,75,78,76,52306,28812,9347,24609,6940,18975,10135,7144
45:59.0,00:00.0,100,2,54,75,64,120393,49405,4729,18655,2761,3254,2482,1784
46:00.0,00:00.0,100,2,57,80,68,16318,13801,23614,12683,22617,18918,10230,5318
46:01.0,00:00.0,100,2,66,75,70,13865,20741,18469,3408,13613,26384,5124,2402
46:02.0,00:00.0,100,2,74,75,74,4144,6811,8959,10625,6209,15703,7076,4670
46:03.0,00:00.0,100,2,90,60,75,14208,54644,2462,3791,16704,15450,7118,1558
46:04.0,00:00.0,100,2,97,51,74,22498,10212,1694,8467,6629,20524,6985,1826
46:05.0,00:00.0,100,2,91,63,77,94938,2407,5447,3270,1311,2855,994,942
46:06.0,00:00.0,100,2,80,60,70,9057,32117,8772,15467,15763,9805,3980,2384
46:07.0,00:00.0,100,2,91,67,79,26741,15738,4588,5615,8654,23016,7494,2925
46:08.0,00:00.0,100,2,84,66,75,24802,30758,8814,5449,16539,23395,9660,1932
46:09.0,00:00.0,100,2,83,60,71,3422,22001,19087,23820,22220,14173,5679,3777
46:10.0,00:00.0,100,2,84,67,75,10340,15360,13039,26328,9867,13154,2221,9978
46:11.0,00:00.0,100,2,80,74,77,6366,17064,9366,5706,7286,15706,15565,5379
46:12.0,00:00.0,100,2,78,78,78,606570,28058,12562,8293,16415,21576,8010,2688
46:13.0,00:00.0,100,2,61,64,62,1583704,539214,47947,62961,89809,18385,5550,4813
46:14.0,00:00.0,100,2,64,51,57,473742,34314,6522,10058,30754,19671,17814,3415
46:15.0,00:00.0,100,2,44,50,47,1849460,262097,66232,12357,17164,14194,17911,6501
46:16.0,00:00.0,100,2,20,57,38,640489,65094,36050,28353,6897,3348,4285,1250
46:17.0,00:00.0,100,2,35,66,50,74362,24665,14927,7264,9551,7451,8929,9007
46:18.0,00:00.0,100,2,37,70,53,35308,13816,9492,6823,21804,14742,8965,15830
46:19.0,00:00.0,100,2,56,78,67,51859,20113,25389,5964,16925,18705,11499,8492
46:20.0,00:00.0,100,2,74,67,70,442197,44643,7345,18641,25538,14954,4402,5172
46:21.0,00:00.0,100,2,81,66,73,42578,47127,27896,15744,16610,38373,5981,3125
46:22.0,00:00.0,100,2,70,75,72,11457,29243,23905,19022,7954,12147,13921,4239
46:23.0,00:00.0,100,2,69,70,69,466927,39599,20900,14831,24413,24128,13833,2856
46:24.0,00:00.0,100,2,80,74,77,44761,38107,19360,17600,19906,52700,9903,2981
46:25.0,00:00.0,100,2,77,75,76,24693,21382,6711,35004,28595,18546,9026,2792
46:26.0,00:00.0,100,2,81,70,75,238758,34284,25992,16385,6960,20672,16761,5769
46:27.0,00:00.0,100,2,91,60,75,22044,9502,358,3415,14760,11355,6179,4050
46:28.0,00:00.0,100,2,69,48,58,297047,303278,17734,11316,11247,19602,10101,3094
46:29.0,00:00.0,100,2,66,50,58,38341,50670,43519,18560,18202,18449,10677,6908
46:30.0,00:00.0,100,2,63,53,58,43927,43940,49378,16506,13114,23082,15640,7335
46:31.0,00:00.0,100,2,38,66,52,278274,130350,35136,59037,33008,10890,9991,2465
46:32.0,00:00.0,100,2,48,77,62,16256,83853,3988,31158,23744,26149,13370,3701
46:33.0,00:00.0,100,2,50,70,60,20757,32416,8604,12643,8813,10610,6319,1362
46:34.0,00:00.0,100,2,47,74,60,21448,33870,58892,18606,19973,15757,11943,2094
46:35.0,00:00.0,100,2,57,83,70,460968,13931,19830,30356,2407,11361,8354,6126
46:36.0,00:00.0,100,2,56,93,74,207251,24238,26661,15006,20031,12802,11513,5030
46:37.0,00:00.0,100,2,64,90,77,312766,33382,19648,5808,18651,29783,2741,6449
46:38.0,00:00.0,100,2,70,77,73,29467,50477,6282,13659,24255,21517,7907,6466
46:39.0,00:00.0,100,2,75,69,72,102344,25697,42959,7654,10772,22247,6113,3382
46:40.0,00:00.0,100,2,63,53,58,217968,125403,4715,15762,19504,6558,6040,2809
