'Time','VidTime','Raw Value','Blink','Mark'
2019/10/22 10:45:04.210,07:00:00.210,84,0,0
2019/10/22 10:45:04.212,07:00:00.212,85,0,0
2019/10/22 10:45:04.214,07:00:00.214,66,0,0
2019/10/22 10:45:04.216,07:00:00.216,41,0,0
2019/10/22 10:45:04.218,07:00:00.218,29,0,0
2019/10/22 10:45:04.220,07:00:00.220,23,0,0
2019/10/22 10:45:04.222,07:00:00.222,6,0,0
2019/10/22 10:45:04.224,07:00:00.224,-1,0,0
2019/10/22 10:45:04.226,07:00:00.226,4,0,0
2019/10/22 10:45:04.228,07:00:00.228,10,0,0
2019/10/22 10:45:04.230,07:00:00.230,8,0,0
2019/10/22 10:45:04.232,07:00:00.232,-9,0,0
2019/10/22 10:45:04.234,07:00:00.234,-29,0,0
2019/10/22 10:45:04.236,07:00:00.236,-28,0,0
2019/10/22 10:45:04.238,07:00:00.238,-12,0,0
2019/10/22 10:45:04.240,07:00:00.240,0,0,0
2019/10/22 10:45:04.242,07:00:00.242,-2,0,0
2019/10/22 10:45:04.244,07:00:00.244,-10,0,0
2019/10/22 10:45:04.246,07:00:00.246,2,0,0
2019/10/22 10:45:04.248,07:00:00.248,51,0,0
2019/10/22 10:45:04.250,07:00:00.250,88,0,0
2019/10/22 10:45:04.251,07:00:00.251,82,0,0
2019/10/22 10:45:04.253,07:00:00.253,64,0,0
2019/10/22 10:45:04.255,07:00:00.255,75,0,0
2019/10/22 10:45:04.257,07:00:00.257,113,0,0
2019/10/22 10:45:04.259,07:00:00.259,120,0,0
2019/10/22 10:45:04.261,07:00:00.261,89,0,0
2019/10/22 10:45:04.263,07:00:00.263,60,0,0
2019/10/22 10:45:04.265,07:00:00.265,60,0,0
2019/10/22 10:45:04.267,07:00:00.267,72,0,0
2019/10/22 10:45:04.269,07:00:00.269,75,0,0
2019/10/22 10:45:04.271,07:00:00.271,44,0,0
2019/10/22 10:45:04.273,07:00:00.273,-4,0,0
2019/10/22 10:45:04.275,07:00:00.275,-26,0,0
2019/10/22 10:45:04.277,07:00:00.277,0,0,0
2019/10/22 10:45:04.279,07:00:00.279,25,0,0
2019/10/22 10:45:04.281,07:00:00.281,9,0,0
2019/10/22 10:45:04.283,07:00:00.283,-18,0,0
2019/10/22 10:45:04.285,07:00:00.285,-18,0,0
2019/10/22 10:45:04.287,07:00:00.287,-8,0,0
2019/10/22 10:45:04.289,07:00:00.289,-3,0,0
2019/10/22 10:45:04.291,07:00:00.291,-5,0,0
2019/10/22 10:45:04.292,07:00:00.292,-13,0,0
2019/10/22 10:45:04.294,07:00:00.294,-11,0,0
2019/10/22 10:45:04.296,07:00:00.296,-3,0,0
2019/10/22 10:45:04.298,07:00:00.298,10,0,0
2019/10/22 10:45:04.300,07:00:00.300,23,0,0
2019/10/22 10:45:04.302,07:00:00.302,25,0,0
2019/10/22 10:45:04.304,07:00:00.304,19,0,0
2019/10/22 10:45:04.306,07:00:00.306,21,0,0
2019/10/22 10:45:04.308,07:00:00.308,33,0,0
2019/10/22 10:45:04.310,07:00:00.310,35,0,0
2019/10/22 10:45:04.312,07:00:00.312,13,0,0
2019/10/22 10:45:04.314,07:00:00.314,-12,0,0
2019/10/22 10:45:04.316,07:00:00.316,-19,0,0
2019/10/22 10:45:04.318,07:00:00.318,23,0,0
2019/10/22 10:45:04.320,07:00:00.320,71,0,0
2019/10/22 10:45:04.322,07:00:00.322,65,0,0
2019/10/22 10:45:04.324,07:00:00.324,10,0,0
2019/10/22 10:45:04.326,07:00:00.326,-18,0,0
2019/10/22 10:45:04.328,07:00:00.328,2,0,0
2019/10/22 10:45:04.330,07:00:00.330,48,0,0
2019/10/22 10:45:04.332,07:00:00.332,59,0,0
2019/10/22 10:45:04.333,07:00:00.333,43,0,0
2019/10/22 10:45:04.335,07:00:00.335,48,0,0
2019/10/22 10:45:04.337,07:00:00.337,65,0,0
2019/10/22 10:45:04.339,07:00:00.339,76,0,0
2019/10/22 10:45:04.341,07:00:00.341,54,0,0
2019/10/22 10:45:04.343,07:00:00.343,20,0,0
2019/10/22 10:45:04.345,07:00:00.345,11,0,0
2019/10/22 10:45:04.347,07:00:00.347,40,0,0
