Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
45:15.0,00:00.0,74,5,29,41,35,696686,69524,20976,12704,14083,12347,5526,1533,,
45:16.0,00:00.0,74,5,29,41,35,729036,16513,3248,3420,3716,3102,890,378,,
45:17.0,00:00.0,87,5,29,41,35,319759,13679,2498,4822,1204,936,414,112,,
45:18.0,00:00.0,87,5,29,41,35,344133,9331,5008,7634,2260,2545,1047,938,,
45:19.0,00:00.0,74,5,29,41,35,558874,21582,8853,4816,6551,3309,1502,382,,
45:20.0,00:00.0,100,5,17,47,32,249000,87884,9138,24598,7994,2557,2023,615,,
45:21.0,00:00.0,74,5,17,47,32,3018447,22899,34838,11583,16243,14728,3133,496,,
45:22.0,00:00.0,87,5,17,47,32,437338,17919,20439,13713,6922,7791,2503,677,,
45:23.0,00:00.0,87,5,17,47,32,1363218,286367,37470,22413,76588,80978,5595,3031,,
45:24.0,00:00.0,87,5,17,47,32,1849496,199166,83900,54891,115510,61942,7377,7984,,
45:25.0,00:00.0,87,5,17,47,32,1833892,81075,11706,11553,31339,16287,2460,1439,,
45:26.0,00:00.0,100,5,27,40,33,99438,14663,3149,7176,5489,2977,285,205,,
45:27.0,00:00.0,87,4,27,40,33,1868509,38403,19161,21664,14710,6160,2912,1250,,
45:28.0,00:00.0,74,4,27,40,33,403355,75333,47359,11555,7050,15054,6008,746,,
45:29.0,00:00.0,87,4,27,40,33,679492,18472,1735,7438,13997,8016,3083,462,,
45:30.0,00:00.0,74,4,27,40,33,1669502,25336,10695,20796,20555,27901,6972,1280,,
45:31.0,00:00.0,87,4,27,40,33,335527,1830,4327,3400,1849,1744,274,16,,
45:32.0,00:00.0,100,4,51,43,47,540745,26152,8156,16049,15319,15424,2341,191,,
45:33.0,00:00.0,87,3,51,43,47,2546382,63053,40318,16092,22378,16259,7616,2977,,
45:34.0,00:00.0,74,3,51,43,47,1237609,50095,20815,32134,20437,10455,1707,863,,
45:35.0,00:00.0,87,3,51,43,47,203947,21234,6130,4257,6452,1543,253,141,,
