'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
04:23.0,00:00.0,100,2,57,93,75,174324,23631,114822,15616,7520,24275,11815,14229,,
04:24.0,00:00.0,100,2,60,81,70,168297,46964,8295,9481,9315,27280,26130,8838,,
04:25.0,00:00.0,100,2,56,77,66,12435,24392,19026,10264,13135,27833,46251,4508,,
04:26.0,00:00.0,100,2,61,70,65,14359,15656,11113,4402,2731,32315,55096,9994,,
04:27.0,00:00.0,100,2,69,56,62,48323,29328,24441,8725,13590,24821,44163,11997,,
04:28.0,00:00.0,100,2,69,57,63,253380,66749,13776,18669,5168,48691,32915,5985,,
04:29.0,00:00.0,100,2,60,43,51,185162,98072,9137,5399,24496,16157,39745,10848,,
04:30.0,00:00.0,100,2,43,38,40,340059,169136,41736,3027,5686,35028,18082,18738,,
04:31.0,00:00.0,100,2,51,24,37,26730,18951,671,8897,22680,29104,15148,4530,,
04:32.0,00:00.0,100,2,51,21,36,13273,12959,2194,5647,16067,9915,14122,5856,,
04:33.0,00:00.0,100,2,51,34,42,78279,22365,6785,3663,5995,4716,2953,1488,,
04:34.0,00:00.0,100,2,56,37,46,239412,8933,1825,2127,1116,3817,784,559,,
04:35.0,00:00.0,100,2,44,48,46,77487,55002,13343,30958,16121,30719,24357,4179,,
04:36.0,00:00.0,100,2,53,57,55,20474,12945,21010,13628,9133,48758,13821,7367,,
04:37.0,00:00.0,100,2,48,51,49,209812,81693,13735,3625,9795,8125,4115,1421,,
04:38.0,00:00.0,100,2,41,53,47,93280,46641,1985,16547,4489,9529,7897,4366,,
04:39.0,00:00.0,100,2,30,41,35,100484,63838,7437,2915,1203,8975,3961,2720,,
04:40.0,00:00.0,100,2,16,29,22,1025896,44518,8059,2287,5062,10147,2836,1700,,
04:41.0,00:00.0,100,2,24,43,33,152075,24661,31025,21985,33680,15897,17720,11205,,
04:42.0,00:00.0,100,2,27,47,37,1166477,74574,30078,18998,12653,26554,14209,21849,,
04:43.0,00:00.0,100,2,35,57,46,18486,36046,16716,12861,16744,17980,20082,7704,,
04:44.0,00:00.0,100,2,38,61,49,21100,29420,10024,2426,9425,10468,9802,7942,,
04:45.0,00:00.0,100,2,35,60,47,57326,45465,27734,9819,18596,11770,9370,5771,,
04:46.0,00:00.0,100,2,41,51,46,5218,51522,15157,7054,18733,31006,4765,4871,,
04:47.0,00:00.0,100,2,48,48,48,46704,21265,16355,2765,21487,20615,14265,8157,,
04:48.0,00:00.0,100,2,41,61,51,18267,33899,33766,26524,21308,11605,29145,10746,,
04:49.0,00:00.0,100,2,48,56,52,27386,54923,8666,19784,7398,22927,33953,11348,,
04:50.0,00:00.0,100,2,37,56,46,64396,28224,4200,3982,10818,4348,2136,1712,,
04:51.0,00:00.0,100,2,48,57,52,6454,2627,16257,12581,20336,60827,16363,5839,,
04:52.0,00:00.0,100,2,61,44,52,30772,45203,19992,2992,11452,38415,11418,4525,,
04:53.0,00:00.0,100,2,69,48,58,7539,18342,10188,12063,6177,25690,13761,10944,,
04:54.0,00:00.0,100,2,96,44,70,4629,18520,8821,4520,6955,70105,29795,7756,,
04:55.0,00:00.0,100,2,84,30,57,254636,13305,1952,733,3596,8436,3938,2556,,
04:56.0,00:00.0,100,2,88,24,56,139323,8187,1527,977,2925,8048,3257,1535,,
04:57.0,00:00.0,100,2,78,7,42,767961,147752,7659,5887,9260,29792,19543,4414,,
04:58.0,00:00.0,100,2,70,14,42,10733,14536,702,14895,4527,33433,10627,8247,,
04:59.0,00:00.0,100,2,67,20,43,149885,51494,7673,7627,16333,25975,10928,3355,,
05:00.0,00:00.0,100,2,48,37,42,123087,7186,3437,2891,1465,1483,476,162,,
05:01.0,00:00.0,100,2,61,53,57,4221,20561,10758,6745,4329,27345,10722,10149,,
05:02.0,00:00.0,100,2,69,41,55,9281,4307,5220,1781,7824,48910,15977,11686,,
05:03.0,00:00.0,100,2,70,56,63,13183,23715,6142,32317,4348,34216,10762,6531,,
05:04.0,00:00.0,100,2,75,54,64,16816,15851,6931,4639,1761,4877,6728,3021,,
05:05.0,00:00.0,100,2,78,56,67,7058,6577,4915,24440,12613,42764,15129,5762,,
05:06.0,00:00.0,100,2,61,57,59,555746,75972,11295,8558,8934,58220,19709,19106,,
05:07.0,00:00.0,100,2,57,51,54,18189,35379,4576,21247,20917,23636,14098,6506,,
05:08.0,00:00.0,100,2,64,57,60,83930,12722,12030,26664,12291,16796,42265,8939,,
05:09.0,00:00.0,100,2,69,51,60,40335,6960,3080,12307,10333,47346,13889,4145,,
05:10.0,00:00.0,100,2,64,57,60,42492,25504,2810,14683,26412,15988,24504,4187,,
05:11.0,00:00.0,100,2,51,54,52,271176,262967,44304,36735,12107,26901,14129,6439,,
05:12.0,00:00.0,100,2,48,37,42,67473,17456,2218,1750,2458,5563,6650,5755,,
05:13.0,00:00.0,100,2,34,44,39,12699,31810,19008,12771,3804,22653,7209,5680,,
05:14.0,00:00.0,100,2,37,48,42,5773,17404,6781,9066,13830,20446,19068,7917,,
05:15.0,00:00.0,100,2,47,47,47,112176,126525,9456,25741,13657,38151,10421,4173,,
05:16.0,00:00.0,100,2,41,60,50,61657,62435,39570,17766,12051,20350,16735,6870,,
05:17.0,00:00.0,100,2,48,50,49,82926,7552,2246,1788,3017,7882,2460,754,,
05:18.0,00:00.0,100,2,56,47,51,55141,23306,6351,21791,21268,72719,13726,17837,,
05:19.0,00:00.0,100,2,63,44,53,444236,58704,8315,17732,18599,49657,6337,8087,,
05:20.0,00:00.0,100,2,57,29,43,315065,194398,25803,13064,44535,20236,22135,12921,,
05:21.0,00:00.0,100,2,57,30,43,25489,15489,593,10287,12792,17010,9559,15163,,
05:22.0,00:00.0,100,2,50,35,42,187375,36857,2086,24514,16321,32315,17395,7226,,
05:23.0,00:00.0,100,2,38,41,39,469747,132751,45748,23457,14129,31682,6660,5689,,
05:24.0,00:00.0,100,2,40,40,40,748220,280643,21829,21085,45177,30236,11481,6939,,
05:25.0,00:00.0,100,2,43,47,45,14710,11364,22479,13810,30072,48655,18897,13529,,
05:26.0,00:00.0,100,2,48,44,46,15571,16760,8725,8786,10739,35489,30242,3727,,
05:27.0,00:00.0,100,2,48,50,49,466442,36792,16672,15686,7109,11755,3645,1287,,
05:28.0,00:00.0,100,2,69,57,63,2447,12723,11880,12257,25612,40418,73064,7303,,
05:29.0,00:00.0,100,2,64,63,63,34374,9007,28238,12456,14520,32754,17900,6764,,
05:30.0,00:00.0,100,2,48,70,59,115437,18985,6982,8409,3086,4859,4684,1671,,
05:31.0,00:00.0,100,2,64,57,60,29999,49828,8992,14851,24407,78786,9887,15094,,
05:32.0,00:00.0,100,2,70,50,60,2540,9036,3836,5811,19471,41940,12034,7892,,
05:33.0,00:00.0,100,2,80,38,59,13304,8377,11658,5555,19278,51684,9122,7784,,
05:34.0,00:00.0,100,2,88,26,57,37060,50965,5136,14960,18190,23453,11142,7495,,
05:35.0,00:00.0,100,2,78,34,56,21916,41561,10865,10236,9875,25131,14779,8573,,
05:36.0,00:00.0,100,2,61,44,52,33006,66800,8247,39063,10048,31890,22643,10433,,
05:37.0,00:00.0,100,2,41,48,44,91504,20537,3874,4859,1951,5804,3775,3290,,
05:38.0,00:00.0,100,2,48,54,51,2427,18643,18537,12423,34411,34340,7076,7503,,
05:39.0,00:00.0,100,2,47,53,50,43147,14644,4210,1616,2106,5859,3517,2334,,
05:40.0,00:00.0,100,2,40,41,40,312911,254817,34703,9120,21610,47020,12491,13370,,
05:41.0,00:00.0,100,2,30,40,35,186407,50928,10553,7708,14936,5238,4381,1948,,
05:42.0,00:00.0,100,2,20,41,30,296967,125079,29159,76856,55135,39430,11100,10065,,
05:43.0,00:00.0,100,2,11,35,23,441007,33598,4151,1693,2483,5097,1593,949,,
05:44.0,00:00.0,100,2,23,47,35,21576,13369,9170,10327,13575,20973,7719,8590,,
05:45.0,00:00.0,100,2,35,40,37,112906,123319,13802,12157,36339,41252,8466,9346,,
05:46.0,00:00.0,100,2,38,41,39,526940,43264,16734,39803,31922,25861,12144,11346,,
05:47.0,00:00.0,100,2,41,53,47,67333,12958,7935,761,3465,3943,3856,1855,,
05:48.0,00:00.0,100,2,40,53,46,144223,44442,7153,34508,22234,34624,8364,9718,,
05:49.0,00:00.0,100,2,57,47,52,14041,9695,1342,1721,8448,29743,16802,5961,,
05:50.0,00:00.0,100,2,78,23,50,6538,17340,2214,2193,5825,53977,6354,5986,,
05:51.0,00:00.0,100,2,75,23,49,5472,52522,15834,22448,23490,13142,10848,10280,,
05:52.0,00:00.0,100,2,83,17,50,7117,9698,5951,4848,9559,20492,8643,5981,,
05:53.0,00:00.0,100,2,74,40,57,10751,12685,21271,7497,11294,35978,9417,6085,,
05:54.0,00:00.0,100,2,61,54,57,17082,36969,4590,13403,6074,31125,15907,15135,,
05:55.0,00:00.0,100,2,77,51,64,12638,37315,35381,4666,9657,63313,28106,5290,,
05:56.0,00:00.0,100,2,77,50,63,18252,19707,5108,7455,4938,30948,6137,2812,,
05:57.0,00:00.0,100,2,69,41,55,11409,59103,8674,12965,6234,27937,11176,6427,,
05:58.0,00:00.0,100,2,57,48,52,43950,61414,17548,21510,18892,18274,7456,6268,,
05:59.0,00:00.0,100,2,43,48,45,2188,56299,21073,8507,20381,10883,6421,6401,,
06:00.0,00:00.0,100,2,38,56,47,10927,17740,18955,14153,27191,28788,25329,12255,,
06:01.0,00:00.0,100,2,50,64,57,9707,2766,17383,11307,8011,48372,19410,6657,,
06:02.0,00:00.0,100,2,50,66,58,29170,29656,18361,14767,24996,12585,12413,11651,,
06:03.0,00:00.0,100,2,50,66,58,23658,119189,34133,14273,6360,18596,14150,2650,,
06:04.0,00:00.0,100,2,41,61,51,387164,22822,6250,5257,2430,7688,2652,541,,
06:05.0,00:00.0,100,2,26,54,40,23766,70775,21496,6127,10134,24856,14726,7725,,
06:06.0,00:00.0,100,2,35,51,43,34747,33000,5770,22717,4967,36637,11617,9292,,
06:07.0,00:00.0,100,1,35,60,47,232262,26265,23246,6794,6944,6417,2899,2020,,
06:08.0,00:00.0,100,1,40,60,50,78400,48352,3378,20714,3574,27124,19806,2213,,
06:09.0,00:00.0,100,1,53,53,53,12547,19113,1063,8247,7890,36430,7874,8068,,
06:10.0,00:00.0,100,3,40,54,47,1481513,82331,17943,22584,2908,12453,3645,807,,
06:11.0,00:00.0,100,3,47,50,48,216584,42964,16736,26941,19995,22509,9956,3254,,
06:12.0,00:00.0,100,3,43,47,45,549601,108463,31075,12809,56029,37682,9631,8407,,
06:13.0,00:00.0,100,3,34,57,45,14115,28426,20554,4825,6348,22399,7066,13180,,
06:14.0,00:00.0,100,3,41,61,51,5491,34970,30498,5395,5470,22126,7475,11458,,
06:15.0,00:00.0,100,3,48,57,52,2601,17244,3620,11043,4930,20423,13163,1597,,
06:16.0,00:00.0,100,3,57,57,57,35129,27867,6784,10918,13512,34290,20547,4509,,
06:17.0,00:00.0,100,3,50,60,55,45135,21883,9316,7570,6395,4809,5190,1764,,
06:18.0,00:00.0,100,3,47,60,53,125516,69535,30965,29140,11204,29295,37106,10476,,
06:19.0,00:00.0,100,3,47,63,55,124513,1744,191,1959,749,2069,1428,225,,
06:20.0,00:00.0,100,3,47,60,53,325254,14167,3249,3325,6225,15875,9888,2005,,
06:21.0,00:00.0,100,3,48,43,45,135733,146330,8123,10080,12180,25470,13256,4230,,
06:22.0,00:00.0,100,3,61,40,50,34724,6599,4439,21556,13296,38797,4744,4866,,
06:23.0,00:00.0,100,3,44,38,41,77320,129656,48960,24466,20381,14709,5563,6296,,
06:24.0,00:00.0,100,3,23,37,30,362051,122823,11540,12806,19650,8036,22202,5142,,
06:25.0,00:00.0,100,3,17,43,30,287855,58347,5443,8525,8265,6842,3420,814,,
06:26.0,00:00.0,100,3,8,44,26,33502,23801,11552,16762,17092,20193,15063,7006,,
06:27.0,00:00.0,100,3,11,48,29,95685,75563,24221,37371,20036,13438,10515,5721,,
06:28.0,00:00.0,100,3,30,53,41,114411,8699,1545,7629,15420,11686,1615,2243,,
06:29.0,00:00.0,100,3,47,44,45,80502,24459,2343,1202,2592,15333,6881,1112,,
06:30.0,00:00.0,100,3,44,37,40,79168,14040,3555,2475,8060,6483,15165,1693,,
06:31.0,00:00.0,100,3,54,24,39,189128,134509,20312,23122,39314,46738,20761,9333,,
06:32.0,00:00.0,100,3,47,26,36,36527,49318,11365,12948,7585,17177,23437,7825,,
