'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,,
13:20.0,00:00.0,100,2,41,67,54,1939330,23917,15486,41878,10229,13275,4474,7568,,,,,,
13:21.0,00:00.0,100,2,43,64,53,590900,65355,8409,54946,17610,11484,4341,6144,,,,,,
13:22.0,00:00.0,100,2,27,53,40,121709,30474,1638,1859,3847,693,500,348,,,,,,
13:23.0,00:00.0,100,2,27,53,40,236449,13489,5384,1425,2238,1370,2596,617,,,,,,
13:24.0,00:00.0,100,2,23,44,33,412413,69130,46373,5020,13979,10657,3986,824,,,,,,
13:25.0,00:00.0,100,2,20,47,33,79027,22541,14835,8195,4601,2588,1849,746,,,,,,
13:26.0,00:00.0,100,2,38,57,47,1265561,137951,23313,41194,37142,29243,17163,15140,,,,,,
13:27.0,00:00.0,100,2,29,47,38,876415,54500,6215,2186,14133,1787,3086,800,,,,,,
13:28.0,00:00.0,100,3,24,23,23,553415,466590,11677,9264,20831,27718,3007,1233,,,,,,
13:29.0,00:00.0,100,3,17,20,18,709131,105540,51663,35095,24436,4223,2565,623,,,,,,
13:30.0,00:00.0,100,3,8,11,9,1571046,490699,26213,58482,72777,28938,8956,5282,,,,,,
13:31.0,00:00.0,100,3,10,23,16,356180,76678,16460,18810,9741,3205,811,578,,,,,,
13:32.0,00:00.0,100,3,4,47,25,1258133,231215,133438,39558,70358,13491,8365,4787,,,,,,
13:33.0,00:00.0,100,3,17,37,27,785001,90643,5632,21649,20402,12397,14612,2039,,,,,,
13:34.0,00:00.0,100,3,13,40,26,313271,116308,5509,20490,5259,4222,4450,992,,,,,,
13:35.0,00:00.0,100,3,23,44,33,96721,7562,6165,2159,4930,1429,631,232,,,,,,
13:36.0,00:00.0,100,3,38,51,44,1042869,94056,40761,125306,16568,47899,13289,3852,,,,,,
13:37.0,00:00.0,87,2,38,51,44,2148411,144501,59605,32976,32812,68877,65593,49154,,,,,,
13:38.0,00:00.0,100,2,30,56,43,2184345,731760,280911,68793,105183,59266,7207,2712,,,,,,
13:39.0,00:00.0,100,2,41,67,54,1611917,229219,185748,44696,73918,48669,9524,2710,,,,,,
13:40.0,00:00.0,100,2,43,64,53,88993,6270,3594,762,3413,1004,351,254,,,,,,
13:41.0,00:00.0,100,2,29,50,39,216727,17609,2826,1471,1920,839,330,164,,,,,,
13:42.0,00:00.0,100,2,29,34,31,831057,53923,1261,3136,9900,3106,1455,547,,,,,,
13:43.0,00:00.0,100,1,30,20,25,1809437,196540,22724,25544,21848,31126,10454,1840,,,,,,
13:44.0,00:00.0,100,1,29,10,19,744947,151864,6598,22834,46294,14808,6492,2874,,,,,,
13:45.0,00:00.0,100,1,37,7,22,142542,52115,5457,5300,5147,5144,1160,1193,,,,,,
13:46.0,00:00.0,100,2,40,24,32,1498311,187496,64712,27423,34361,21730,3860,1083,,,,,,
13:47.0,00:00.0,100,2,26,14,20,1612851,675562,20766,29539,50673,22985,13356,2763,,,,,,
13:48.0,00:00.0,100,2,26,27,26,95751,28630,15780,4534,1360,3818,725,540,,,,,,
13:49.0,00:00.0,100,2,26,24,25,1793775,117877,3253,16607,21166,10026,5134,1991,,,,,,
13:50.0,00:00.0,100,2,20,13,16,683112,437245,4246,51097,43957,16843,6519,4755,,,,,,
13:51.0,00:00.0,100,2,38,34,36,589296,102006,68478,30567,37557,42085,6528,9008,,,,,,
13:52.0,00:00.0,100,2,38,23,30,878498,323244,13572,57645,13377,30514,9215,7208,,,,,,
13:53.0,00:00.0,100,2,40,24,32,573923,122327,18321,3466,9667,12464,5349,2321,,,,,,
13:54.0,00:00.0,100,2,50,35,42,1914247,353643,41314,117123,24700,56141,20227,15577,,,,,,
13:55.0,00:00.0,100,2,35,24,29,35398,108169,11829,9192,4962,5078,2652,287,,,,,,
13:56.0,00:00.0,100,2,34,30,32,2136807,32195,5514,12873,11410,3497,3471,1343,,,,,,
13:57.0,00:00.0,100,2,27,35,31,925754,231441,25264,35052,20576,15339,11897,981,,,,,,
13:58.0,00:00.0,100,2,23,29,26,240310,72055,12583,5579,11736,6057,1030,692,,,,,,
13:59.0,00:00.0,100,2,13,30,21,262744,188537,23663,11082,4890,2436,2567,887,,,,,,
14:00.0,00:00.0,100,2,14,24,19,933518,294622,46413,14477,15858,26954,11387,2728,,,,,,
14:01.0,00:00.0,100,2,13,35,24,1297052,105875,30148,52494,37228,8635,4430,3036,,,,,,
14:02.0,00:00.0,100,2,13,37,25,853376,74319,9209,8298,8236,5353,5063,1478,,,,,,
14:03.0,00:00.0,100,2,20,30,25,298207,307748,18997,20831,14780,8544,4120,2532,,,,,,
14:04.0,00:00.0,100,2,11,40,25,857751,41316,7893,12850,5913,1875,1068,425,,,,,,
14:05.0,00:00.0,100,2,10,26,18,1094149,601486,74660,22465,28077,28508,17633,6613,,,,,,
14:06.0,00:00.0,100,2,10,30,20,961520,652241,165692,74441,21638,55567,21218,19698,,,,,,
14:07.0,00:00.0,87,3,10,30,20,1599090,382786,20000,116836,22162,51261,60291,4755,,,,,,
14:08.0,00:00.0,100,3,8,43,25,189379,256514,30794,75727,6943,7385,7943,8769,,,,,,
14:09.0,00:00.0,100,3,8,34,21,865628,319322,44581,16666,12206,11674,11998,2220,,,,,,
14:10.0,00:00.0,87,2,8,34,21,944548,550751,20961,53794,8556,11450,16598,2639,,,,,,
14:11.0,00:00.0,100,2,11,41,26,1720862,131000,28024,23412,6657,10467,4210,2394,,,,,,
14:12.0,00:00.0,100,2,4,37,20,1378394,591909,13823,95740,38839,21244,19762,7029,,,,,,
14:13.0,00:00.0,100,3,21,24,22,726776,484413,63612,9577,69695,62828,7516,1641,,,,,,
14:14.0,00:00.0,87,2,21,24,22,401975,18120,14333,6125,2763,1918,577,307,,,,,,
14:15.0,00:00.0,87,5,21,24,22,1489015,15645,9832,10771,5236,3247,1629,1084,,,,,,
14:16.0,00:00.0,100,5,30,30,30,310396,12634,3387,2495,1362,1912,462,210,,,,,,
14:17.0,00:00.0,100,5,21,24,22,556405,286755,45566,6021,12647,6721,5665,2210,,,,,,
14:18.0,00:00.0,100,1,20,43,31,799671,162112,129899,34462,10377,7303,10027,1939,,,,,,
14:19.0,00:00.0,87,3,20,43,31,2506259,307533,184873,96009,5432,31160,6471,2836,,,,,,
14:20.0,00:00.0,100,3,21,57,39,2497679,292924,162249,52824,81354,65663,10990,1589,,,,,,
14:21.0,00:00.0,100,2,26,50,38,1394534,683108,50332,104744,139664,132583,26060,3660,,,,,,
14:22.0,00:00.0,100,2,50,64,57,322898,20201,10043,16820,8094,11022,906,872,,,,,,
14:23.0,00:00.0,100,2,70,53,61,1597354,544897,218743,66085,128293,222180,14713,4569,,,,,,
14:24.0,00:00.0,100,2,64,60,62,1257875,39977,29915,16758,7349,5677,506,409,,,,,,
14:25.0,00:00.0,87,2,64,60,62,184980,44059,7207,5936,8875,2798,1072,397,,,,,,
14:26.0,00:00.0,100,2,60,63,61,244602,76188,11995,5697,2313,8652,2299,623,,,,,,
14:27.0,00:00.0,100,2,48,53,50,2952088,353065,60330,101906,116845,31109,20728,5664,,,,,,
14:28.0,00:00.0,100,2,37,51,44,1514032,151104,52760,20644,81529,17781,9640,1856,,,,,,
14:29.0,00:00.0,100,2,47,37,42,681866,77539,15255,7364,14833,18951,5037,1803,,,,,,
14:30.0,00:00.0,100,2,37,35,36,314850,301782,46088,11645,36065,11265,5364,1984,,,,,,
14:31.0,00:00.0,100,2,35,27,31,802478,250295,25808,16423,22829,14718,10629,1993,,,,,,
14:32.0,00:00.0,100,2,29,34,31,132562,42487,7021,16705,9637,3248,1276,530,,,,,,
14:33.0,00:00.0,100,2,20,37,28,457160,189673,38457,30523,26307,18676,7763,1801,,,,,,
14:34.0,00:00.0,100,2,35,37,36,492817,22954,5573,336,3356,4801,677,449,,,,,,
14:35.0,00:00.0,100,2,48,53,50,2085434,99459,107206,134906,130446,74377,20232,9276,,,,,,
14:36.0,00:00.0,100,2,53,43,48,1892311,497776,54206,53915,51453,41860,16159,9453,,,,,,
14:37.0,00:00.0,100,2,53,48,50,2461804,236024,81666,42183,20394,26476,27053,8409,,,,,,
14:38.0,00:00.0,100,2,41,41,41,1641083,371545,19016,25829,56929,21766,15769,1797,,,,,,
14:39.0,00:00.0,100,2,40,37,38,364896,35755,13312,8131,4195,10032,3543,1838,,,,,,
14:40.0,00:00.0,100,2,40,29,34,250827,110464,8137,5031,12911,10181,7599,2601,,,,,,
14:41.0,00:00.0,100,2,44,23,33,1399724,38527,6078,5659,3216,5953,1990,486,,,,,,
14:42.0,00:00.0,100,2,51,29,40,1170340,239557,18571,31359,14552,36344,13442,1710,,,,,,
14:43.0,00:00.0,100,2,51,21,36,1014816,730609,51400,187616,200693,167649,41896,41681,,,,,,
14:44.0,00:00.0,100,2,61,40,50,764479,114034,67149,19537,17238,43802,4946,2762,,,,,,
14:45.0,00:00.0,87,4,61,40,50,1155638,63770,19367,10647,6927,4056,2180,830,,,,,,
14:46.0,00:00.0,100,4,61,38,49,1353863,318001,76645,23504,55730,53068,8099,1654,,,,,,
14:47.0,00:00.0,100,3,60,47,53,700930,207805,71277,28981,24510,29426,19143,3619,,,,,,
14:48.0,00:00.0,100,2,60,50,55,1996065,746346,207730,139134,136560,190072,25272,4547,,,,,,
14:49.0,00:00.0,100,2,44,37,40,1171293,164559,9978,15781,13438,7819,7706,2688,,,,,,
14:50.0,00:00.0,100,2,29,37,33,1367435,160580,27528,10730,23157,4992,2618,1810,,,,,,
14:51.0,00:00.0,100,2,17,34,25,1107078,180460,50338,9207,17320,6366,8717,2976,,,,,,
14:52.0,00:00.0,100,2,13,26,19,367158,151664,5272,17431,3244,18188,7093,1627,,,,,,
14:53.0,00:00.0,100,2,26,35,30,544730,80486,14609,27186,17301,21002,15222,2520,,,,,,
14:54.0,00:00.0,100,2,47,35,41,88023,23977,3937,3023,2590,6583,1595,348,,,,,,
14:55.0,00:00.0,100,2,56,37,46,340524,97832,14628,32374,17562,10835,10909,2106,,,,,,
14:56.0,00:00.0,100,2,53,35,44,824565,1068985,22056,114675,150327,82381,69891,4353,,,,,,
14:57.0,00:00.0,100,2,44,40,42,202494,30143,11187,10468,3002,3861,511,264,,,,,,
14:58.0,00:00.0,100,1,26,41,33,530457,195254,17609,46391,81574,6860,13867,1988,,,,,,
14:59.0,00:00.0,100,1,21,29,25,1918587,192710,14147,14038,14008,10567,3679,1383,,,,,,
15:00.0,00:00.0,74,5,21,29,25,1593320,99427,39790,56510,53755,54696,26906,4008,,,,,,
15:01.0,00:00.0,100,5,20,38,29,408658,243436,61179,13091,13445,16945,12203,2821,,,,,,
15:02.0,00:00.0,100,5,24,34,29,1570767,78552,19496,13190,9964,14907,8977,4995,,,,,,
15:03.0,00:00.0,100,2,41,34,37,154075,56133,2669,13473,5709,11150,4001,974,,,,,,
15:04.0,00:00.0,100,2,47,38,42,1120225,211794,19294,28758,11247,18780,15891,2608,,,,,,
15:05.0,00:00.0,100,2,60,48,54,2178537,139848,156618,26835,21296,77850,30846,5554,,,,,,
15:06.0,00:00.0,100,2,64,51,57,1685761,202037,108959,35668,36830,66855,23843,4894,,,,,,
15:07.0,00:00.0,100,2,54,51,52,727931,463601,66110,43897,22711,30485,12495,6772,,,,,,
15:08.0,00:00.0,100,2,50,48,49,606296,379770,23616,29746,20290,20259,7283,1258,,,,,,
15:09.0,00:00.0,100,2,41,43,42,1765807,259274,80153,60651,16365,42255,14307,3367,,,,,,
15:10.0,00:00.0,100,2,34,29,31,1651514,77560,3942,9784,12856,8500,3066,512,,,,,,
15:11.0,00:00.0,100,2,30,41,35,412368,48331,21431,12337,4591,3616,5574,1423,,,,,,
15:12.0,00:00.0,87,3,30,41,35,2501887,450727,70898,115456,107499,165331,22833,6137,,,,,,
15:13.0,00:00.0,74,3,30,41,35,67584,14976,941,3422,9004,6409,2840,1096,,,,,,
15:14.0,00:00.0,87,3,30,41,35,587838,55100,37708,26903,23041,12262,2853,2263,,,,,,
15:15.0,00:00.0,100,3,30,47,38,246729,132495,17335,17069,35380,7350,6012,1423,,,,,,
15:16.0,00:00.0,87,2,30,47,38,482270,122510,18025,46055,25153,9809,5026,1775,,,,,,
15:17.0,00:00.0,74,2,30,47,38,2124891,899343,537497,185461,38044,63472,62129,25734,,,,,,
15:18.0,00:00.0,100,2,24,40,32,635037,608964,120013,54690,36757,38195,16116,3695,,,,,,
15:19.0,00:00.0,87,2,24,40,32,1598416,53330,32175,8049,10258,9878,8257,1883,,,,,,
15:20.0,00:00.0,100,2,26,53,39,1267233,105868,55952,14359,14516,18771,8580,1563,,,,,,
15:21.0,00:00.0,100,3,41,44,42,800357,97269,23247,20974,13074,27893,7745,4911,,,,,,
15:22.0,00:00.0,87,1,41,44,42,343434,12666,6511,596,3541,2030,2311,349,,,,,,
15:23.0,00:00.0,87,1,41,44,42,136338,32018,21925,9183,6325,5386,4987,1030,,,,,,
15:24.0,00:00.0,87,1,41,44,42,1361730,365390,151068,108144,84766,110982,55534,10606,,,,,,
15:25.0,00:00.0,74,1,41,44,42,1720025,617698,161619,94908,193920,72527,62176,18229,,,,,,
15:26.0,00:00.0,100,1,51,44,47,420472,988828,161934,152798,248578,163761,94596,12439,,,,,,
15:27.0,00:00.0,87,2,51,44,47,1765073,192272,17173,88637,107622,77638,11729,5560,,,,,,
15:28.0,00:00.0,87,2,51,44,47,2246248,447396,155413,150862,29722,130300,58206,30919,,,,,,
15:29.0,00:00.0,87,2,51,44,47,774335,91077,5500,9774,13590,3072,2662,441,,,,,,
15:30.0,00:00.0,87,2,51,44,47,1132245,9660,8113,5666,2894,4451,1596,497,,,,,,
15:31.0,00:00.0,87,2,51,44,47,97989,9529,4053,3216,1969,2337,714,318,,,,,,
15:32.0,00:00.0,100,2,50,40,45,20066,123209,9721,10481,2182,6804,3719,791,,,,,,
15:33.0,00:00.0,87,2,50,40,45,1250516,264561,257870,186763,189461,272536,26142,12825,,,,,,
15:34.0,00:00.0,87,2,50,40,45,343808,286801,46426,27448,116181,107046,31648,12700,,,,,,
15:35.0,00:00.0,87,2,50,40,45,604273,441007,21552,23751,63446,31811,3740,9950,,,,,,
15:36.0,00:00.0,87,2,50,40,45,2156067,96484,58180,97493,63235,62306,27959,3877,,,,,,
15:37.0,00:00.0,74,2,50,40,45,631664,45046,13258,5239,3492,2911,578,151,,,,,,
15:38.0,00:00.0,74,2,50,40,45,668406,21990,2659,5036,5407,2977,664,225,,,,,,
15:39.0,00:00.0,100,2,37,29,33,878348,549690,69483,43745,55864,19497,26291,12481,,,,,,
15:40.0,00:00.0,100,2,35,37,36,1169371,164495,108254,26412,23500,49695,6770,4295,,,,,,
15:41.0,00:00.0,100,2,35,40,37,53316,80777,6415,46059,58575,16525,20721,3030,,,,,,
15:42.0,00:00.0,74,5,35,40,37,363349,126063,17202,7930,19653,8904,3353,1775,,,,,,
15:43.0,00:00.0,87,5,35,40,37,94994,19145,23775,13972,26270,21429,7563,785,,,,,,
15:44.0,00:00.0,87,5,35,40,37,1057318,127843,66821,26796,5306,8433,6731,1985,,,,,,
15:45.0,00:00.0,74,5,35,40,37,878227,401285,275557,178763,48960,46081,10201,6915,,,,,,
