'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,,
16:43.0,00:00.0,74,4,44,48,46,1307184,362184,262319,219967,266484,554429,142265,79115,,,,,,
16:44.0,00:00.0,100,4,38,48,43,1136102,64903,13537,15477,35696,6442,993,1162,,,,,,
16:45.0,00:00.0,87,4,38,48,43,1451970,903894,357942,28693,68772,38095,27667,35742,,,,,,
16:46.0,00:00.0,74,4,38,48,43,497620,20436,10688,15495,20277,13626,6258,6033,,,,,,
16:47.0,00:00.0,74,4,38,48,43,1812355,1035419,250178,174957,288022,137197,84441,47564,,,,,,
16:48.0,00:00.0,100,4,50,51,50,964841,813515,96808,277732,195548,164043,7640,3739,,,,,,
16:49.0,00:00.0,87,2,50,51,50,404790,138318,18278,7520,10935,8070,2439,1294,,,,,,
16:50.0,00:00.0,74,2,50,51,50,1379982,145227,46054,31370,34332,20431,17723,5290,,,,,,
16:51.0,00:00.0,74,2,50,51,50,1317308,227391,99506,113469,98523,105929,54510,20518,,,,,,
16:52.0,00:00.0,74,2,50,51,50,211151,16932,4071,12934,12123,14085,698,2709,,,,,,
16:53.0,00:00.0,87,2,50,51,50,450195,19505,2233,3832,1721,3330,1269,1399,,,,,,
16:54.0,00:00.0,74,2,50,51,50,3281189,516851,67152,17669,17852,98476,26422,4827,,,,,,
16:55.0,00:00.0,100,2,51,37,44,1006268,305733,19456,8916,35116,54772,14092,11452,,,,,,
16:56.0,00:00.0,87,2,51,37,44,947196,280346,106998,73743,86458,22726,9938,2711,,,,,,
16:57.0,00:00.0,74,2,51,37,44,3187263,559382,672867,349857,127535,276029,217527,121854,,,,,,
16:58.0,00:00.0,87,2,51,37,44,359957,557478,387895,61455,252985,306427,290512,143180,,,,,,
16:59.0,00:00.0,74,2,51,37,44,56198,9215,2131,7440,24039,10395,16697,5143,,,,,,
17:00.0,00:00.0,74,2,51,37,44,168476,18872,6631,12758,3272,3413,1026,729,,,,,,
17:01.0,00:00.0,87,2,51,37,44,651570,16533,5934,6846,6062,5820,797,1151,,,,,,
17:02.0,00:00.0,74,2,51,37,44,609593,102580,37083,19549,12064,27498,8908,700,,,,,,
17:03.0,00:00.0,100,2,41,38,39,109189,8740,5659,881,712,569,133,126,,,,,,
17:04.0,00:00.0,100,2,37,29,33,1235799,76713,5919,3445,3619,3246,1259,610,,,,,,
17:05.0,00:00.0,87,2,37,29,33,2285738,177145,14144,16422,35233,31621,10583,3828,,,,,,
17:06.0,00:00.0,100,2,21,13,17,238128,41282,1566,1454,1421,1370,372,171,,,,,,
17:07.0,00:00.0,87,3,21,13,17,1210596,22407,9444,17807,7897,7871,1984,1240,,,,,,
17:08.0,00:00.0,74,3,21,13,17,553603,111301,7698,6066,16215,9420,2549,1231,,,,,,
17:09.0,00:00.0,87,3,21,13,17,2075855,385170,64332,58500,64181,44056,11791,6827,,,,,,
17:10.0,00:00.0,74,3,21,13,17,1170186,65885,4596,6371,12738,6371,2959,785,,,,,,
17:11.0,00:00.0,100,3,7,14,10,1669730,107228,5897,4821,13089,3948,1151,552,,,,,,
